ID в ИС ГТИБД,Название,Название (англ.),Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро (м),Метро (широта),Метро (долгота),Телефоны,Сайт,Электропочта,Доступно для лиц с ограниченными возможностями,Геопозиция (широта),Геопозиция (долгота)
4429,"""Петербург - кино"", кинотеатр ""Аврора""",гос. городское учреждение,"198510, Санкт-Петербург, г. петергоф, Санкт-Петербургский пр., 17",17,Петродворцовый район,,Санкт-Петербург,Санкт-Петербургский проспект,"Санкт-Петербург, Петергоф, Санкт-Петербургский проспект, 17",,,1,,,+7(812)4506029; +7(812)4505454;,,dc_avrora@kkult.gov.spb.ru,,59.878983,29.921436
4430,"""Петербург-кино""",гос. городское учреждение,"191023, Санкт-Петербург, наб. р. фонтанки, 15, лит. а",15,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,набережная реки Фонтанки,"Санкт-Петербург, набережная реки Фонтанки, 15",Гостиный Двор,Невско-Василеостровская линия,,59.933938,30.333745,+7(812)3104337;,www.peterburg-kino.spb.ru,info@peterburg-kino.sp.ru,,59.936079,30.343078
4431,"""Петербург-кино"", кинотеатр ""Восход""",гос. городское учреждение,"198264, Санкт-Петербург, ул. пограничника гарькавого, 22, корп. 1",22к1,Красносельский район,муниципальный округ Сосновая Поляна,Санкт-Петербург,улица Пограничника Гарькавого,"Санкт-Петербург, улица Пограничника Гарькавого, 22к1",,,1,,,+7(812)7446100; +7(812)7441608;,voshodkino.ru,voshodkino@mail.ru,,59.838688,30.147964
4432,"""Петербург-кино"", кинотеатр ""Дружба""",гос. городское учреждение,"196135, Санкт-Петербург, московский пр., 202",202,Московский район,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 202",Парк Победы,Московско-Петроградская линия,,59.866269,30.321887,+7(812)3733061;,voshodkino.ru,druzba@kkult.gov.spb.ru,,59.859461,30.32204
4433,"""Петербург-кино"", кинотеатр ""Заневский""",гос. городское учреждение,"195196, Санкт-Петербург, новочеркасский пр., 47, корп. 1",47к1,Красногвардейский район,муниципальный округ Малая Охта,Санкт-Петербург,Новочеркасский проспект,"Санкт-Петербург, Новочеркасский проспект, 47к1",Новочеркасская,Правобережная линия,,59.928893,30.411925,+7(812)4443785;,www.peterburg-kino.spb.ru,zanevsky@kkult.gov.spb.ru,,59.926255,30.413767
4434,"""Петербург-кино"", Фильмофонд",гос. городское учреждение,"195067, Санкт-Петербург, пискаревский пр., 32",32,Калининский район,муниципальный округ Пискаревка,Санкт-Петербург,Пискаревский проспект,"Санкт-Петербург, Пискаревский проспект, 32",,,1,,,+7(812)5431271;,,marininamila@yandex.ru,,59.982005,30.421465
4435,"""Петербург-кино, кинотеатр ""Уран""",гос. городское учреждение,"194214, Санкт-Петербург, ярославский пр., 55",55,Выборгский район,муниципальный округ Светлановское,Санкт-Петербург,Ярославский проспект,"Санкт-Петербург, Ярославский проспект, 55",Удельная,Московско-Петроградская линия,,60.016604,30.315823,+7(812)5542138;,,uran@kkult.gov.spb.ru,,60.018682,30.319255
4436,"Городской детский киноцентр ""Родина""",гос. городское учреждение,"191023, Санкт-Петербург, караванная ул., 12",12,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Караванная улица,"Санкт-Петербург, Караванная улица, 12",Гостиный Двор,Невско-Василеостровская линия,,59.933938,30.333745,+7(812)3148145; +7(812)5716131; +7(812)3122063;,www.rodinakino.ru,info@rodinakino.ru,,59.936142,30.342198
4437,"Детский кинотеатр ""Авангард""",гос. районное учреждение,"196600, Санкт-Петербург, г. пушкин, конюшенная ул., 17",17,Пушкинский район,,Санкт-Петербург,Конюшенная улица,"Санкт-Петербург, Пушкин, Конюшенная улица, 17",,,1,,,+7(812)4664324;,www.rodinakino.ru,avangardkino@bk.ru,,59.718298,30.411952
4438,"Кино-досуговый центр ""ЧАЙКА""",гос. районное учреждение,"192284, Санкт-Петербург, купчинская ул., 1/5",1/5,Фрунзенский район,муниципальный округ Георгиевский,Санкт-Петербург,Купчинская улица,"Санкт-Петербург, Купчинская улица, 1/5",Купчино,Московско-Петроградская линия,,59.829328,30.375588,+7(812)7723682;,,chaika.74@bk.ru; kinoteatr_chaika@bk.ru,,59.845248,30.379047
